Epoch,loss,accuracy,val_loss,val_accuracy
0,0.678150952,0.76091665,0.769392252,0.73210001
1,0.34968245,0.886333346,0.284053862,0.899500012
2,0.285885066,0.905466676,0.259117484,0.908900023
3,0.252924502,0.915233314,0.239094436,0.916400015
4,0.223797292,0.923566639,0.241675004,0.918200016
5,0.207292706,0.930499971,0.262559801,0.906300008
6,0.195001617,0.934800029,0.227233455,0.921500027
7,0.177567303,0.940366685,0.24169299,0.919200003
8,0.164464071,0.944050014,0.209327615,0.921199977
9,0.151004881,0.947600007,0.199498218,0.921599984
10,0.136835337,0.953466654,0.189743749,0.934399972
11,0.130858198,0.957549989,0.179709625,0.936400006
12,0.119771108,0.959166646,0.171949966,0.936400006
13,0.10919895,0.963416696,0.159134859,0.934399972
14,0.100631721,0.965016663,0.156026059,0.946999994
15,0.092652343,0.968416691,0.174165094,0.948400014
16,0.08545316,0.971650004,0.167969559,0.950399981
