Epoch,loss,accuracy,val_loss,val_accuracy
0,0.338239461,0.893633306,0.232726172,0.929099977
1,0.073362567,0.983416677,0.054062542,0.987600029
2,0.05285015,0.98785001,0.040304478,0.989799976
3,0.043117054,0.990216672,0.045914181,0.989099979
4,0.037495691,0.991583347,0.028091803,0.992799997
5,0.034568746,0.992033362,0.022178797,0.993399978
6,0.029753098,0.993499994,0.035901304,0.992600024
7,0.023242597,0.994416654,0.026693976,0.992799997
8,0.028384052,0.993683338,0.036321547,0.990800023
9,0.020616371,0.995516658,0.038642544,0.9921
10,0.021398352,0.995216668,0.030769419,0.992399991
11,0.020894466,0.995066643,0.030560549,0.994300008
12,0.019516384,0.99576664,0.025376117,0.994400024
13,0.018141935,0.99605,0.032930981,0.994199991
14,0.019229056,0.995599985,0.03214255,0.993399978
15,0.016884726,0.996100008,0.034299713,0.994699994
