Epoch,loss,accuracy,val_loss,val_accuracy
0,1.487057686,0.457975179,1.800778985,0.328666657
1,0.465885103,0.861435592,0.72713387,0.768999994
2,0.30530858,0.91242379,0.260735393,0.914666653
3,0.248355925,0.929138184,0.214427993,0.932666659
4,0.209084362,0.941334188,0.22998099,0.930666685
5,0.167407185,0.952464938,0.218654677,0.935333312
6,0.161193505,0.9530527,0.203437909,0.940666676
7,0.137375921,0.96006906,0.314209163,0.913666666
8,0.1251048,0.963779271,0.254606903,0.924000025
9,0.103565484,0.970134437,0.216547817,0.94266665
10,0.092234887,0.973440588,0.268831223,0.933000028
11,0.090329126,0.974028349,0.230981082,0.946333349
12,0.080996625,0.976379395,0.224183083,0.94599998
13,0.075077459,0.979979455,0.244905382,0.94266665
14,0.079359852,0.977701843,0.20090422,0.949999988
15,0.061744735,0.981448829,0.203795258,0.933333337
16,0.061192047,0.983285606,0.140556479,0.94266665
17,0.061946195,0.983799875,0.114979949,0.939999998
18,0.054053523,0.985122323,0.123989362,0.945666671
19,0.048080653,0.986628473,0.153531784,0.947333336
20,0.053754095,0.986114144,0.173576468,0.94599998
21,0.041701667,0.988281548,0.188976759,0.944333315
22,0.041604105,0.989530504,0.170180372,0.954333305
23,0.0459852,0.987840712,0.188190095,0.949999988
24,0.040819749,0.988538682,0.164390022,0.951333344
